TITLE="(Vx,Vy)"
VARIABLES=X,Y,Hx,Hy,Hm
ZONE T="T-Dummy" I=83, J=30, F=POINT
2.216667 3.721084 6413.096680 3256.049072 7193.570801
2.216667 3.825904 7349.838867 3254.635254 8038.434570
2.216667 3.930723 7507.245605 3368.745850 8228.500000
2.216667 4.035542 6578.586914 3244.791504 7335.593262
2.216667 4.140361 6372.039062 3159.715332 7112.765137
2.216667 4.245181 7255.683594 3363.713623 7998.296387
2.216667 4.350000 6368.151855 3181.495605 7119.934570
2.216667 4.454819 5620.019531 3382.960693 6560.603516
2.216667 4.559639 6610.167969 3268.708984 7375.400391
2.216667 4.664458 7428.937012 3130.720703 8062.543457
2.216667 4.769277 6595.643066 3273.587891 7364.409180
2.216667 4.874096 5893.287109 3258.750732 6735.266113
2.216667 4.978916 6809.498535 3445.357666 7632.664062
2.216667 5.083735 7521.121094 3304.529297 8215.857422
2.216667 5.188554 6611.610352 3136.366699 7318.976562
2.216667 5.293373 5886.700684 2155.085449 6270.059570
2.216667 5.398193 6751.213867 2276.740234 7125.299316
2.216667 5.503012 7435.249023 3038.133789 8032.770508
2.216667 5.607831 6580.788086 3000.036133 7233.623047
2.216667 5.712651 5876.821777 2725.429199 6479.232422
2.216667 5.817470 6663.787109 2513.115967 7122.074707
2.216667 5.922289 7306.441406 2837.802734 7839.151367
2.216667 6.027108 6532.184082 3122.868896 7241.671387
2.216667 6.131928 5865.613281 2730.785645 6470.946289
2.216667 6.236747 6559.041992 3181.380371 7291.168945
2.216667 6.341566 7152.038086 2889.889160 7714.673828
2.216667 6.446386 7638.109375 2755.684082 8121.077148
2.216667 6.551205 7775.829102 1671.451050 7954.259766
2.216667 6.656024 7769.029297 1975.084961 8017.332031
2.216667 6.760843 7876.476562 2681.441406 8321.197266
2.216667 6.865663 7802.887695 2400.970215 8164.885254
2.216667 6.970482 7806.513672 2106.153076 8086.311523
2.216667 7.075301 7829.239258 2392.566895 8187.624512
2.216667 7.180120 7823.957031 2669.419678 8267.466797
2.216667 7.284940 7840.112305 2372.280762 8192.117188
2.216667 7.389759 7829.979492 2073.436523 8100.569336
2.216667 7.494578 7833.508789 2355.073730 8180.826172
2.216667 7.599398 7823.010742 2623.596680 8251.910156
2.216667 7.704217 7822.598633 2306.223145 8156.429688
2.216667 7.809036 4161.800293 1991.206421 4614.724121
2.216667 7.913855 1032.062866 2803.088379 2988.194824
2.216667 8.018675 2020.412598 2572.253418 3272.461426
2.216667 8.123494 3047.089355 2227.844727 3776.821533
2.216667 8.228313 4042.928711 1896.945557 4467.459961
2.216667 8.333133 4987.482422 2011.739258 5379.660156
2.216667 8.437952 5881.431641 1730.039307 6131.860840
2.216667 8.542771 6704.585938 1742.068115 6927.864258
2.216667 8.647590 0.000000 0.000000 0.000000
2.343333 0.052410 0.000000 0.000000 0.000000
2.343333 0.157229 4929.270508 2138.148682 5390.725586
2.343333 0.262048 4911.500000 1925.170654 5292.125977
2.343333 0.366867 7508.235840 1759.907471 7712.685547
2.343333 0.471687 3841.014404 2171.487549 4414.161133
2.343333 0.576506 4000.847900 1996.815308 4472.878906
2.343333 0.681325 7498.101562 1824.388672 7718.129883
2.343333 0.786145 3799.439209 1610.373047 4128.239258
2.343333 0.890964 593.552490 1273.790894 1407.856323
2.343333 0.995783 1452.522461 2284.273926 2708.348145
2.343333 1.100602 2402.743652 2059.420410 3166.913574
2.343333 1.205422 3414.945312 2659.891357 4329.960938
2.343333 1.310241 2032.379883 2497.787598 3222.248779
2.343333 1.415060 487.586029 2431.328369 2480.424316
2.343333 1.519880 1346.885254 2220.680664 2599.228516
2.343333 1.624699 2315.432617 2118.797607 3140.438477
2.343333 1.729518 3314.840332 1854.256470 3800.660156
2.343333 1.834337 3715.689453 1715.542480 4094.983887
2.343333 1.939157 2180.169922 1266.369995 2535.184570
2.343333 2.043976 1247.025269 1440.518555 1908.051025
2.343333 2.148795 2220.002441 2050.587891 3036.224121
2.343333 2.253614 3228.672852 1920.085938 3758.077637
2.343333 2.358434 4221.962402 2243.971191 4783.060547
2.343333 2.463253 2682.086182 3572.142090 4467.787109
2.343333 2.568072 1158.182495 1981.061768 2297.197510
2.343333 2.672892 2130.685059 2139.509766 3021.388672
2.343333 2.777711 3135.404785 2549.754150 4042.929688
2.343333 2.882530 4139.875000 2364.709473 4769.249023
2.343333 2.987349 2602.768066 2234.588379 3432.345215
2.343333 3.092169 1050.431274 1962.263184 2227.654785
2.343333 3.196988 2023.922119 1415.912354 2472.890137
2.343333 3.301807 3042.641602 1860.156982 3568.405762
